"Breadcrumbs","Breadcrumbs"
"Container Selector","Container Selector"
"Description Selector","Description Selector"
"You can specify chain of css selectors (only id, class attributes and tag names are allowed)","You can specify chain of css selectors (only id, class attributes and tag names are allowed)"
"Product","Product"
"Name Selector","Name Selector"
"Image Selector","Image Selector"
"Review Rating","Review Rating"
"Make sure that container has no id attribute defined and has ""in-stock"" or ""out-of-stock"" class name. You can specify chain of css selectors (only id, class attributes and tag names are allowed)","Make sure that container has no id attribute defined and has ""in-stock"" or ""out-of-stock"" class name. You can specify chain of css selectors (only id, class attributes and tag names are allowed)"
Organization,Organization
"Site Name Selector","Site Name Selector"
"Logo Selector","Logo Selector"
"Site Link Selector","Site Link Selector"
"Price Container","Price Container"
"Regular Price Selector","Regular Price Selector"
"Special Price Selector","Special Price Selector"
"Availability Selector","Availability Selector"
